permit_id,sensor_reading_id,permit_type,status,zone_id,unit_id,issued_at,expires_at
PERMIT-000001,1,general,expired,unit-5-zone-1,unit-5,2026-06-20T22:44:42.304051,2026-06-21T01:07:27.660206
PERMIT-000002,2,hot_work,active,unit-3-zone-1,unit-3,2026-06-12T00:45:37.187645,2026-06-12T02:55:35.256809
PERMIT-000003,3,electrical,active,unit-5-zone-1,unit-5,2026-06-20T22:20:08.924828,2026-06-21T05:26:05.293479
PERMIT-000004,4,electrical,expired,unit-3-zone-1,unit-3,2026-06-11T23:33:48.429851,2026-06-12T00:27:28.214056
PERMIT-000005,5,hot_work,active,unit-2-zone-2,unit-2,2026-06-09T08:15:55.062975,2026-06-09T10:26:31.619438
PERMIT-000006,6,hot_work,active,unit-5-zone-3,unit-5,2026-06-21T00:52:21.533831,2026-06-21T05:16:48.096409
PERMIT-000007,7,general,expired,unit-2-zone-2,unit-2,2026-06-09T08:19:59.732862,2026-06-09T07:18:28.859646
PERMIT-000008,8,electrical,active,unit-1-zone-1,unit-1,2026-06-09T05:05:44.776213,2026-06-09T12:13:51.373660
PERMIT-000009,9,confined_space,active,unit-5-zone-2,unit-5,2026-06-21T00:21:08.048661,2026-06-21T02:49:05.070459
PERMIT-000010,10,confined_space,active,unit-3-zone-2,unit-3,2026-06-12T01:30:42.881058,2026-06-12T03:48:21.796363
PERMIT-000011,11,electrical,active,unit-4-zone-2,unit-4,2026-06-09T06:51:07.013872,2026-06-09T12:05:47.627458
PERMIT-000012,12,electrical,active,unit-1-zone-2,unit-1,2026-06-09T04:50:00.533582,2026-06-09T11:58:49.171837
PERMIT-000013,13,confined_space,active,unit-3-zone-2,unit-3,2026-06-11T23:45:59.323252,2026-06-12T07:14:26.281741
PERMIT-000014,14,general,active,unit-4-zone-3,unit-4,2026-06-09T06:21:55.873227,2026-06-09T14:04:41.850140
PERMIT-000015,15,confined_space,active,unit-5-zone-1,unit-5,2026-06-20T23:53:39.681390,2026-06-21T02:25:54.282389
PERMIT-000016,16,hot_work,active,unit-2-zone-3,unit-2,2026-06-09T05:10:47.469614,2026-06-09T11:53:32.721193
PERMIT-000017,17,general,active,unit-4-zone-1,unit-4,2026-06-09T07:44:17.966065,2026-06-09T10:04:27.792446
PERMIT-000018,18,electrical,active,unit-5-zone-3,unit-5,2026-06-20T23:37:51.381708,2026-06-21T05:15:21.344966
PERMIT-000019,19,general,expired,unit-1-zone-3,unit-1,2026-06-09T07:31:30.602287,2026-06-09T07:22:55.399119
PERMIT-000020,20,confined_space,active,unit-4-zone-3,unit-4,2026-06-09T05:09:47.957945,2026-06-09T10:25:03.986448
PERMIT-000021,21,general,active,unit-2-zone-1,unit-2,2026-06-09T06:17:34.366919,2026-06-09T09:00:56.526143
PERMIT-000022,22,confined_space,active,unit-1-zone-1,unit-1,2026-06-09T08:40:25.294974,2026-06-09T11:25:10.111005
PERMIT-000023,23,hot_work,active,unit-4-zone-2,unit-4,2026-06-09T05:06:10.603832,2026-06-09T12:47:45.350659
PERMIT-000024,24,general,active,unit-4-zone-1,unit-4,2026-06-09T08:09:33.446560,2026-06-09T15:36:43.216625
PERMIT-000025,25,general,active,unit-5-zone-2,unit-5,2026-06-20T23:57:21.262960,2026-06-21T04:57:17.970247
PERMIT-000026,26,hot_work,active,unit-5-zone-3,unit-5,2026-06-21T00:08:11.639888,2026-06-21T04:55:29.637252
PERMIT-000027,27,electrical,active,unit-2-zone-2,unit-2,2026-06-09T07:25:32.704989,2026-06-09T09:51:11.201184
PERMIT-000028,28,general,revoked,unit-4-zone-3,unit-4,2026-06-09T05:58:53.073966,2026-06-09T08:45:24.794131
PERMIT-000029,29,electrical,active,unit-3-zone-3,unit-3,2026-06-11T23:56:31.665440,2026-06-12T06:22:08.004996
PERMIT-000030,30,hot_work,active,unit-4-zone-2,unit-4,2026-06-09T09:12:15.803355,2026-06-09T11:26:18.430942
PERMIT-000031,31,confined_space,active,unit-3-zone-3,unit-3,2026-06-12T01:45:13.172983,2026-06-12T04:19:15.612671
PERMIT-000032,32,hot_work,active,unit-1-zone-2,unit-1,2026-06-09T07:24:05.258172,2026-06-09T11:23:17.151478
PERMIT-000033,33,electrical,active,unit-2-zone-2,unit-2,2026-06-09T05:31:43.843252,2026-06-09T10:25:40.336211
PERMIT-000034,34,confined_space,expired,unit-5-zone-3,unit-5,2026-06-20T23:17:36.687801,2026-06-21T02:59:16.086697
PERMIT-000035,35,hot_work,expired,unit-3-zone-2,unit-3,2026-06-11T22:59:46.319347,2026-06-12T01:24:56.835616
PERMIT-000036,36,hot_work,active,unit-1-zone-3,unit-1,2026-06-09T08:15:01.653792,2026-06-09T16:09:41.453936
PERMIT-000037,37,confined_space,active,unit-1-zone-3,unit-1,2026-06-09T05:35:40.012400,2026-06-09T09:25:35.219991
PERMIT-000038,38,electrical,active,unit-2-zone-1,unit-2,2026-06-09T07:24:15.299945,2026-06-09T10:22:38.016080
PERMIT-000039,39,confined_space,active,unit-4-zone-2,unit-4,2026-06-09T07:54:53.979639,2026-06-09T10:43:51.253158
PERMIT-000040,40,electrical,active,unit-1-zone-2,unit-1,2026-06-09T06:08:31.099180,2026-06-09T12:30:47.311094
PERMIT-000041,41,confined_space,active,unit-4-zone-1,unit-4,2026-06-09T09:41:10.253335,2026-06-09T17:11:26.225893
PERMIT-000042,42,confined_space,revoked,unit-4-zone-3,unit-4,2026-06-09T07:32:44.444651,2026-06-09T13:24:42.034289
PERMIT-000043,43,hot_work,active,unit-5-zone-2,unit-5,2026-06-21T02:31:13.316834,2026-06-21T06:07:37.213931
PERMIT-000044,44,electrical,expired,unit-2-zone-1,unit-2,2026-06-09T07:20:02.432936,2026-06-09T09:06:21.398859
PERMIT-000045,45,electrical,active,unit-1-zone-3,unit-1,2026-06-09T06:55:18.391298,2026-06-09T11:54:53.570378
PERMIT-000046,46,general,active,unit-3-zone-1,unit-3,2026-06-11T22:47:10.414592,2026-06-12T06:31:48.456715
PERMIT-000047,47,confined_space,expired,unit-4-zone-2,unit-4,2026-06-09T07:46:45.094802,2026-06-09T09:51:46.597539
PERMIT-000048,48,general,active,unit-5-zone-2,unit-5,2026-06-21T00:54:10.421001,2026-06-21T04:56:22.547105
PERMIT-000049,49,hot_work,active,unit-1-zone-2,unit-1,2026-06-09T08:01:59.034677,2026-06-09T14:08:23.406005
PERMIT-000050,50,hot_work,active,unit-5-zone-2,unit-5,2026-06-21T03:31:13.651041,2026-06-21T09:43:14.250241
PERMIT-000051,51,hot_work,active,unit-3-zone-2,unit-3,2026-06-12T01:50:49.304709,2026-06-12T09:12:45.748689
PERMIT-000052,52,confined_space,active,unit-2-zone-1,unit-2,2026-06-09T07:18:25.783358,2026-06-09T12:45:32.829452
PERMIT-000053,53,hot_work,active,unit-3-zone-3,unit-3,2026-06-12T01:25:47.655905,2026-06-12T05:58:19.316456
PERMIT-000054,54,hot_work,expired,unit-3-zone-3,unit-3,2026-06-12T00:20:40.693433,2026-06-12T02:34:18.873559
PERMIT-000055,55,hot_work,active,unit-5-zone-2,unit-5,2026-06-21T02:12:51.168530,2026-06-21T07:24:59.422602
PERMIT-000056,56,confined_space,active,unit-2-zone-1,unit-2,2026-06-09T08:51:25.875931,2026-06-09T14:55:16.184740
PERMIT-000057,57,general,active,unit-1-zone-1,unit-1,2026-06-09T09:05:46.590569,2026-06-09T14:26:22.904480
PERMIT-000058,58,general,active,unit-3-zone-2,unit-3,2026-06-12T02:05:25.414199,2026-06-12T08:38:35.402369
PERMIT-000059,59,electrical,active,unit-5-zone-1,unit-5,2026-06-21T00:43:59.230436,2026-06-21T04:48:50.183348
PERMIT-000060,60,general,active,unit-1-zone-1,unit-1,2026-06-09T07:24:58.819569,2026-06-09T13:01:59.526587
PERMIT-000061,61,hot_work,active,unit-4-zone-1,unit-4,2026-06-09T08:12:40.181783,2026-06-09T13:31:41.893461
PERMIT-000062,62,general,active,unit-1-zone-3,unit-1,2026-06-09T07:46:38.649077,2026-06-09T12:12:32.290459
PERMIT-000063,63,hot_work,expired,unit-1-zone-3,unit-1,2026-06-09T07:26:02.352618,2026-06-09T10:22:01.603997
PERMIT-000064,64,hot_work,active,unit-2-zone-1,unit-2,2026-06-09T09:05:39.874022,2026-06-09T16:56:03.360389
PERMIT-000065,65,general,expired,unit-5-zone-3,unit-5,2026-06-21T00:37:04.657137,2026-06-21T02:22:04.379991
PERMIT-000066,66,confined_space,active,unit-1-zone-2,unit-1,2026-06-09T07:10:37.103086,2026-06-09T14:48:41.158406
